id,w,division,type
00580,9750.44,6,2
00581,14076.75,2,2
00582,6373.55,1,2
00583,10576.37,9,2
00584,10270.16,10,2
00585,7794.4,10,1
00586,2673.74,4,2
00587,4232.49,4,2
00588,7497.95,2,5
00589,5177.54,8,2
00590,4751.97,4,2
00591,6297.04,5,2
00592,14918.46,5,2
00593,11508.38,6,2
00594,4697.21,4,2
00595,7136.88,10,2
00596,2778.26,4,2
00597,6532.13,5,5
00598,16137.48,3,2
00599,3909.18,4,2
00600,16951.04,2,2
00601,4132.53,4,2
00602,8122.52,10,5
00603,6931.95,5,5
00604,5616.94,1,5
00605,6612.77,5,2
00606,7549.59,6,2
00607,10122.06,3,4
00608,6905.04,7,2
00609,4346.73,8,3
00610,8878.28,2,4
00611,10305.79,10,2
00612,10858.46,2,5
00613,18832.41,3,2
00614,5543.57,1,2
00615,4156.84,1,2
00616,12550.18,2,2
00617,11330.02,8,2
00618,4751.97,4,2
00619,7489.17,7,2
00620,7735.78,2,5
00621,10423.08,10,2
00622,10762.53,4,5
00623,6858.53,10,2
00624,8484.74,7,4
00625,9972.5,10,5
00626,12550.18,2,2
00627,6540.32,5,2
00628,5518.19,7,3
00629,7229.76,2,2
00630,10207.48,2,5
00631,6527.52,4,2
00632,9026.48,7,5
00633,5191.68,4,2
00634,6449.75,1,3
00635,2691.16,4,2
00636,7264.47,10,2
00637,7727.97,10,5
00638,7442.41,10,1
00639,10845.19,3,2
00640,7553.73,2,4
00641,10352.14,6,2
00642,4697.21,4,2
00643,3402.57,4,4
00644,6054.97,5,2
00645,6905.04,7,2
00646,3912.87,1,2
00647,8393.98,10,2
00648,8236.3,10,2
00649,5371.22,8,2
00650,9645.29,3,2
00651,15966.07,5,2
00652,18655.69,3,3
00653,11330.02,8,2
00654,7169.31,10,2
00655,4197.34,1,2
00656,5524.68,7,3
00657,3901.34,4,2
00658,9336.47,7,5
00659,7093.98,10,2
00660,6737.91,4,2
00661,13370.89,2,1
00662,4751.97,4,2
00663,10321.41,2,5
00664,9121.98,2,4
00665,17056.5,3,2
00666,4912.4,8,2
00667,14727.35,3,2
00668,9179.82,10,2
